Loci	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
OG762_2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0
AT1G10550	-2	-2	-2	-2	0	3	3	0	0	3	0
OG762_4	-2	-2	-2	-2	-2	-1	-2	0	0	3	0
OG767_1	-1	0	0	0	-2	0	-2	0	0	0	0
AT1G50720	-2	-2	-1	0	-2	0	0	0	0	0	0
AT1G11925	-1	-2	-2	-2	-2	0	-1	0	0	0	0
OG770_2	-2	-2	-2	-2	-2	-1	-2	0	0	0	0
OG772_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0
AT4G39720	-2	0	0	0	-1	0	0	0	0	0	0
AT5G65170	-2	-2	-2	-2	-2	-1	0	0	0	0	0
AT5G55410	-2	-2	-2	-2	-1	0	-1	0	0	0	0
AT5G55460	-2	0	0	0	-2	3	-1	3	0	0	0
OG773_3	-2	0	-1	0	-1	-1	-2	3	3	0	0
OG773_4	-2	-2	-2	-2	-2	3	-2	3	3	0	0
OG773_5	-2	-2	-2	-2	-2	-1	-2	3	3	0	0
OG786_1	2	-1	0	0	-2	-2	-2	-2	-2	0	0
AT5G10625	-1	-2	-1	0	-2	-1	1	1	1	1	0
AT5G24860	-2	3	3	1	-2	-2	-1	1	1	1	0
OG786_4	-2	-2	1	1	-2	-2	-2	-2	-2	1	0
OG808_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0
OG808_2	-2	-2	-2	-2	-1	0	-2	0	0	0	0
AT1G15170	-2	-2	-2	-2	0	0	-1	0	0	0	0
AT1G15180	-2	-2	-2	-2	-2	-2	0	0	0	0	0
AT3G13340	-2	-2	-2	-2	0	-1	0	0	0	0	0
AT5G56190	-2	0	0	0	-1	-1	0	0	0	0	0
OG812_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0
AT5G20540	-2	-2	-2	-2	-1	-1	0	0	0	0	0
OG824_1	-2	0	-2	0	3	-2	-2	-2	3	0	0
OG824_2	-2	-2	-2	-2	0	-2	-2	-2	0	0	0
AT4G36380	-1	-2	-2	-2	-1	-2	0	0	0	0	0
OG831_1	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
OG831_2	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
AT5G49220	-2	-1	-1	0	3	3	3	3	3	0	0
AT4G16100	-2	-2	0	0	-1	3	3	3	3	0	0
AT4G29920	-1	-2	-2	-2	-1	-2	0	0	0	0	0
AT5G57130	-2	-2	-2	-2	-2	-2	-1	0	0	0	0
OG845_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0
OG845_2	-2	-1	0	0	-2	-2	-2	-2	-2	0	0
OG845_3	-2	-2	0	0	-2	-2	-2	-2	-2	0	0
AT2G24260	0	-2	-1	0	0	3	3	3	3	0	0
AT5G58010	0	0	-1	0	3	3	-1	3	3	3	0
AT4G02590	-2	-2	-1	3	-1	3	3	3	3	3	0
AT1G03040	-2	-2	-2	-2	-2	-2	3	3	3	3	0
OG857_1	-1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
OG857_2	0	-2	-2	-2	0	-2	-2	-2	0	0	0
AT1G19220	0	-2	-2	-2	0	-2	-1	3	3	0	0
AT5G20730	-2	-2	-2	-2	-2	-2	3	3	3	0	0
OG858_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0
OG858_2	-2	-1	0	0	-2	-2	-2	-2	-2	0	0
OG862_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0
OG862_2	-2	-2	-2	-2	-2	0	-2	0	0	0	0
OG862_3	-2	-2	-2	-2	-2	0	-2	0	0	0	0
